x1,x2,x3,x4,x5,x6,x7,x8
0,0,0,0,0,0,0,0
90.47905,24.79248,3.720372,30.20302,23.77238,24.57246,17.72177,68.70687
9.240924,76.10761,87.91879,22.21222,68.22682,7.390739,13.86139,16.20162
8.020802,26.08261,74.83748,68.44684,25.31253,22.0022,97.60976,25.11251
30.40304,43.74437,9.520952,59.27593,90.77908,18.73187,29.81298,90.82908
13.24132,11.42114,55.9956,73.21732,48.77488,0.330033,27.17272,47.17472
39.09391,31.28313,88.62886,99.94999,77.14771,97.73977,37.9538,0.680068
75.88759,9.90099,55.84558,3.510351,10.29103,15.62156,3.330333,48.15482
93.17932,14.84148,8.260826,54.93549,25.50255,45.70457,44.34443,26.9827
48.18482,29.92299,8.590859,14.75148,74.64746,18.85189,56.22562,5.950595
47.27473,15.55156,55.44554,35.21352,44.65447,69.13691,42.43424,23.05231
24.67247,73.49735,64.77648,96.79968,74.44744,83.43834,59.20592,37.94379
31.16312,91.19912,1.670167,97.91979,3.930393,98.25983,63.29633,44.30443
44.13441,91.9792,50.76508,24.21242,20.51205,70.57706,50.90509,41.84418
9.840984,26.58266,50.54505,51.19512,27.39274,92.11921,25.88259,69.08691
90.41904,4.320432,87.88879,0.790079,12.48125,78.55786,41.9542,38.80388
41.56416,60.58606,9.660966,72.20722,13.62136,62.33623,5.390539,81.07811
39.974,55.19552,34.36344,34.93349,61.29613,13.0213,22.0222,41.82418
42.50425,38.70387,91.12911,24.88249,42.69427,74.16742,39.30393,11.59116
33.76338,60.26603,53.40534,87.81878,73.10731,8.340834,17.21172,9.820982
34.9735,71.10711,5.30053,5.170517,53.90539,67.46675,21.52215,3.850385
21.11211,71.0471,19.17192,42.59426,94.68947,85.85859,6.420642,92.35924
47.81478,88.42884,97.39974,15.40154,38.92389,12.78128,83.50835,34.23342
33.50335,14.31143,7.650765,40.93409,88.83888,60.25603,24.15242,89.52895
98.42984,7.30073,37.94379,4.650465,19.94199,44.66447,68.74687,11.34113
77.69777,84.0384,22.27223,13.26133,14.61146,50.26503,18.21182,3.310331
10.50105,81.31813,51.18512,6.80068,79.14791,50.23502,72.24722,30.023
13.37134,71.87719,26.29263,93.54935,80.93809,86.85869,13.29133,49.68497
16.44164,68.39684,99.19992,26.26263,74.26743,31.29313,78.21782,18.86189
64.71647,7.0007,45.48455,60.89609,5.780578,54.18542,50.25503,48.57486
41.94419,39.78398,46.89469,73.41734,97.9598,5.130513,5.920592,93.0093
49.26493,72.29723,32.15322,78.85789,3.680368,6.050605,8.350835,80.44804
83.08831,6.510651,29.08291,67.08671,59.62596,60.94609,4.810481,5.020502
63.56636,40.51405,11.83118,83.64836,49.78498,81.84818,28.21282,36.37364
