c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,obj
0,1,0,1,-0.010101,0.581217,0.321333,18128900000,1,6764.03,1229.99,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,1,0.00969087,-0.00811848,-0.384333,31197900,1,10.6419,2.93427,1.00E+20
0,1,0,1,-0.00780949,-0.0055035,0.267,18497300000,1,6901.5,1252.73,1.00E+20
1.00E+20,0,0,0,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,0.000728818,-0.00680618,-0.138,234307000,1,86.4346,17.4791,1.00E+20
0,1,0,0,-0.00731324,-0.000802819,-0.445333,3124480,1,0.16594,0.349353,1.00E+20
0,1,0,1,-0.00695035,-0.00785353,-0.598,-0.65,-4531.5,-0.466025,-0.312936,-26641900
0,1,0,0,-0.00967091,-0.00686972,-0.565,-0.3,-2066,0.11156,-0.243784,-20208200
0,1,0,0,-0.00894845,-0.00985697,-0.459,1.025,-655,0.09263,0.0216235,-35701
0,1,0,0,-0.00812301,-0.00806698,-0.529,0.175,-1191,0.03078,-0.0624043,-7138160
0,1,0,0,-0.00513795,-0.00447706,-0.417667,4440450,1,0.65701,0.443622,1.00E+20
0,1,0,0,-0.010101,-0.00971071,-0.528333,1.775,-456.5,0.25447,0.0792287,1.00E+20
0,1,0,0,-0.00516222,-0.00910249,-0.424667,0.425,-992,0.31499,-0.0711843,-5745010
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00862116,-0.000901933,-0.590333,-0.7,-5435.5,-0.508526,-0.365186,-30236400
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,1,0.00286087,-0.00916225,-0.436,11558200,1,3.31308,0.706092,1.00E+20
0,1,0,0,-0.00623959,-0.007927,-0.476667,1.075,-634,0.48853,0.0196773,1.00E+20
0,0,0,1,0.00762006,-0.00560834,-0.437333,11228000,1,3.18985,0.79427,1.00E+20
0,1,0,1,-0.009863,-0.010101,-0.414333,3182450,-137,0.18757,0.125095,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,1,0.0323777,-0.00901183,-0.374333,2153700,1,-0.196318,-0.0514111,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00924554,-0.00344588,-0.573,-0.325,-2125.5,0.09314,-0.251285,-20713700
0,1,0,1,-0.00967091,-0.00945434,-0.565,-0.65,-4550,-0.492198,-0.301325,-25456400
0,1,0,1,-0.0064693,-0.00976194,-0.385667,24646300,1,8.19708,2.48324,1.00E+20
0,1,0,1,-0.00868993,-0.00790377,-0.429667,13262600,1,3.9491,1.65004,1.00E+20
0,1,0,1,0.00024603,-0.00769099,-0.449333,9469420,1,2.53363,1.06203,1.00E+20
0,1,0,0,-0.0088224,-0.0078379,-0.578,-0.525,-3229.5,-0.351369,-0.24472,-21501700
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00944339,-0.00556938,-0.535,-0.65,-4477,-0.49333,-0.30122,-24923700
0,1,0,1,-0.00988066,-0.00883838,-0.527667,-0.4,-2452.5,-0.256263,-0.19996,-17219500
0,1,0,1,-0.00543542,-0.00406541,-0.436667,3892840,1,0.45266,0.300879,1.00E+20
0,1,0,0,-0.010101,-0.00875241,-0.568333,-0.7,-5336.5,-0.512109,-0.355717,-29395100
0,1,0,1,-0.00329593,-0.00728814,-0.474333,4883130,1,0.8222,0.613047,1.00E+20
0,1,0,1,-0.00803254,-0.00894219,-0.462,11802400,1,3.40421,1.45907,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,0,0,1,-0.000862281,-0.00412879,-0.516667,4727110,-162.5,0.76398,0.0725002,1.00E+20
